,rank,song,artist,peak-rank,weeks-on-board
186396,97,No Frills Love,Jennifer Holliday,87,3
186397,98,Perfect Way,Scritti Politti,11,25
186398,99,Never,Heart,4,24
186399,100,It's Only Love,Bryan Adams/Tina Turner,15,14
186475,76,Broken Wings,Mr. Mister,1,22
186476,77,Sex As A Weapon,Pat Benatar,28,13
186485,86,Just Another Day,Oingo Boingo,85,4
186492,93,Own The Night,Chaka Khan,57,9
186496,97,Go,Asia,46,11
186498,99,In Between Days,The Cure,99,1
186499,100,We Built This City,Starship,1,24
186580,81,Emergency,Kool & The Gang,18,16
186581,82,Sleeping Bag,ZZ Top,8,17
186586,87,Don't Say No Tonight,Eugene Wilde,76,10
186588,89,Election Day,Arcadia,6,16
186589,90,Count Me Out,New Edition,51,15
186594,95,I Need You,Maurice White,95,1
186595,96,One Vision,Queen,61,10
186597,98,Prove Me Wrong,David Pack,95,3
186598,99,To Live And Die In L.A.,Wang Chung,41,18
186599,100,The Big Money,Rush,45,14
186669,70,Love Is The Seventh Wave,Sting,17,13
186682,83,Who's Zoomin' Who,Aretha Franklin,7,19
186686,87,Leader Of The Pack,Twisted Sister,53,10
186688,89,Everything Must Change,Paul Young,56,11
186691,92,One Of The Living,Tina Turner,15,18
186692,93,You Belong To The City,Glenn Frey,2,21
186695,96,Lay Your Hands On Me,Thompson Twins,6,20
186698,99,Your Personal Touch,"Evelyn ""Champagne"" King",86,4
186699,100,Miami Vice Theme,Jan Hammer,1,22
186774,75,Wrap Her Up,Elton John,20,14
186780,81,Sun City,Artists United Against Apartheid,38,13
186781,82,Sisters Are Doin' It For Themselves,Eurythmics & Aretha Franklin,18,15
186786,87,Too Young,Jack Wagner,52,14
186791,92,Do It For Love,Sheena Easton,29,14
186792,93,Part-Time Lover,Stevie Wonder,1,21
186794,95,Head Over Heels,Tears For Fears,3,20
186797,98,I Knew The Bride (When She Use To Rock And Roll),Nick Lowe And His Cowboy Outfit,77,9
186799,100,Stacy,Fortune,80,6
186877,78,You Are My Lady,Freddie Jackson,12,20
186890,91,Morning Desire,Kenny Rogers,72,9
186891,92,Love Theme From St. Elmo's Fire (Instrumental),David Foster,15,22
186892,93,Everyday,James Taylor,61,11
186894,95,Be Near Me,ABC,9,22
186896,97,The Heart Is Not So Smart,El DeBarge With DeBarge,75,7
186897,98,Let Me Down Easy,Roger Daltrey,86,4
186898,99,Running Up That Hill,Kate Bush,30,20
186899,100,And She Was,Talking Heads,54,20
186984,85,Good Friends,Joni Mitchell,85,3
186988,89,Small Town Girl,John Cafferty & The Beaver Brown Band,64,10
186989,90,Dangerous,Loverboy,65,9
186992,93,Saving All My Love For You,Whitney Houston,1,22
186993,94,Tears Are Falling,KISS,51,13
186995,96,Freedom,The Pointer Sisters,59,11
186996,97,Lovin' Every Minute Of It,Loverboy,9,21
186997,98,Soul Kiss,Olivia Newton-John,20,15
186998,99,Take On Me,a-ha,1,27
186999,100,Girls Are More Fun,Ray Parker Jr.,34,15
187097,98,Fortress Around Your Heart,Sting,8,20
187099,100,Lonely Ol' Night,John Mellencamp,6,20
187288,89,This Time,INXS,81,6
187290,91,One Night Love Affair,Bryan Adams,13,15
187293,94,And We Danced,Hooters,21,20
187294,95,Oh Sheila,Ready For The World,1,21
187295,96,Cherish,Kool & The Gang,2,25
187299,100,So In Love,Orchestral Manoeuvres In The Dark,26,17
187396,97,Discipline Of Love,Robert Palmer,82,5
187397,98,Sounds Of Your Voice,Jon Butcher Axis,94,3
187398,99,The Oak Tree,Morris Day,65,12
187478,79,Money For Nothing,Dire Straits,1,22
187488,89,I'm Gonna Tear Your Playhouse Down,Paul Young,13,14
187497,98,The Night Is Still Young,Billy Joel,34,10
187498,99,After The Fire,Roger Daltrey,48,13
187499,100,Hurts To Be In Love,Gino Vannelli,57,12
187576,77,I'll Be Good,Rene & Angela,47,10
187584,85,Boy In The Box,Corey Hart,26,12
187590,91,I'm Goin' Down,Bruce Springsteen,9,13
187591,92,Sunset Grill,Don Henley,22,14
187592,93,America,Prince And The Revolution,46,7
187596,97,Born In East L.A.,Cheech & Chong,48,11
187597,98,Dancing In The Street,David Bowie & Mick Jagger,7,14
187599,100,Dress You Up,Madonna,5,16
187688,89,Love Grammar,John Parr,89,2
187690,91,Stand By Me,Maurice White,50,13
187691,92,Kayleigh,Marillion,74,8
187693,94,Like To Get To Know You Well,Howard Jones,49,9
187695,96,Freedom,Wham!,3,18
187696,97,All Fall Down,Five Star,65,11
187697,98,Talk To Me,Quarterflash,83,6
187698,99,Charm The Snake,Christopher Cross,68,5
