,category,nominee,artist,workers
3408,Best Polka Recording,I Remember Warsaw,Jimmy Sturr & His Orchestra,
3409,Best Reggae Recording,Babylon The Bandit,Steel Pulse,
3410,Best Recording For Children,The Alphabet,(The Sesame Street Muppets),
3411,Best Comedy Recording,"Those Of You With Or Without Children, You'll Understand",Bill Cosby,
3412,Best Spoken Word Or Non-Musical Recording,Interviews From The Class Of '55 Recording Sessions,"Johnny Cash, Carl Perkins, Jerry Lee Lewis, Roy Orbison, Sam Phillips, Rick Nelson & Chips Moman",
3413,Best Musical Cast Show Album,Follies In Concert,,"Thomas Z. Shepard, producer (Original 1986 Cast)"
3414,Best Instrumental Composition,Out Of Africa,,"John Barry, composer (John Barry)"
3415,"Best Music Video, Short Form",Dire Straits - Brothers In Arms,Dire Straits,
3416,"Best Music Video, Long Form",Bring On The Night,Sting,"Michael Apted, video director; Sting, video producer"
3417,Best Arrangement On An Instrumental,Suite Memories,,"Pat Williams, arranger (Bill Watrous & Patrick Williams)"
3418,Best Instrumental Arrangement Accompanying Vocals,Somewhere,,"David Foster, arranger (Barbra Streisand)"
3419,Best Album Package,Tutu,,"Eiko Ishioka, art director (Miles Davis)"
3420,Best Album Notes,The Voice - The Columbia Years 1943-1952,,"Frank Conroy, Gary Giddins, Stephen Holden, Murray Kempton, Andrew Sarris, Jonathan Schwartz & Wilfrid Sheed, album notes writers (Frank Sinatra)"
3421,Best Historical Album,"Atlantic Rhythm And Blues 1947-1974, Vols. 1-7",,"(Brook Benton, Ray Charles, The Coasters, The Drifters, Roberta Flack, Aretha Franklin, Otis Redding & Others)"
3422,Best Engineered Recording - Non-Classical,Back In The High Life,,"Jason Corsaro & Tom Lord-Alge, engineers (Steve Winwood)"
3423,Producer Of The Year (Non-Classical),Jimmy Jam & Terry Lewis,,
3424,Best Classical Album,"Horowitz - The Studio Recordings, New York 1985",,"Vladimir Horowitz, artist; Thomas Frost, producer"
3425,Best Classical Orchestral Recording,Liszt: A Faust Symphony,,"Georg Solti, conductor (Chicago Symphony Orchestra)"
3426,Best Opera Recording,Bernstein: Candide,,"James Billings, Joyce Castle, Maris Clement, David Eisler, Jack Harrold, John Lankston, Erie Mills & Scott Reeve; John Mauceri, conductor; Elizabeth Ostrow, producer (New York City Opera Orchestra)"
3427,Best Choral Performance (Other Than Opera),Orff: Carmina Burana,,"James Levine, conductor (Chicago Symphony Chorus; Chicago Symphony Orchestra)"
3428,Best Classical Performance - Instrumental Soloist Or Soloists (With Or Without Orchestra),"Horowitz - The Studio Recordings, New York 1985",,
3429,Best Chamber Music Performance,Beethoven: Cello And Piano Sonata No. 4 In C & Variations,,"Emanuel Ax & Yo-Yo Ma, artists"
3430,Best Classical Vocal Soloist Performance,Mozart: Kathleen Battle Sings Mozart,,(Andre Previn; Royal Philharmonic Orchestra)
3431,Best Contemporary Composition,Lutoslawski: Symphony No. 3,,"Witold Lutoslawski, composer"
3432,"Best Engineered Recording, Classical","Horowitz - The Studio Recordings, New York 1985",,"Paul Goodman, engineer (Vladimir Horowitz, piano)"
3433,Classical Producer Of The Year,Thomas Frost,,
3434,Record Of The Year,We Are The World,USA For Africa (Various Artists),"Quincy Jones, producer"
3435,Album Of The Year,No Jacket Required,Phil Collins,"Phil Collins & Hugh Padgham, producers"
3436,Song Of The Year,We Are The World,,"Michael Jackson & Lionel Richie, songwriters (USA For Africa - Various Artists)"
3437,Best New Artist,Sade,,
3438,"Best Pop Vocal Performance, Female",Saving All My Love For You,Whitney Houston,
3439,"Best Pop Vocal Performance, Male",No Jacket Required,Phil Collins,
3440,Best Pop Performance By A Duo Or Group With Vocal,We Are The World,USA For Africa - Various Artists,
3441,"Best Pop Instrumental Performance (Orchestra, Group Or Soloist)",Miami Vice Theme,Jan Hammer,
3442,"Best Rock Vocal Performance, Female",One Of The Living,Tina Turner,
3443,"Best Rock Vocal Performance, Male",The Boys Of Summer,Don Henley,
3444,Best Rock Performance By A Duo Or Group With Vocal,Money For Nothing,Dire Straits,
3445,"Best Rock Instrumental Performance (Orchestra, Group Or Soloist)",Escape,Jeff Beck,
3446,"Best R&B Vocal Performance, Female",Freeway Of Love,Aretha Franklin,
3447,"Best R&B Vocal Performance, Male",In Square Circle,Stevie Wonder,
3448,Best R&B Performance By A Duo Or Group With Vocal,Nightshift,Commodores,
