,nominee,artist,prizes
544,Coming Home,O'Connor Band With Mark O'Connor,1
545,Common,Maren Morris Featuring Brandi Carlile,1
546,Compositions,Anita Baker,1
547,Concert For George,(Various Artists),1
548,Concert In The Garden,Maria Schneider Orchestra,1
549,Confessions,Usher,1
550,Confessions On A Dance Floor,Madonna,1
551,Conscious Party,Ziggy Marley & The Melody Makers,1
552,Constant Craving,k.d. lang,1
553,Contemporary Jazz,Branford Marsalis Quartet,1
554,Continuum,John Mayer,1
555,Contra La Corriente,Marc Anthony,1
556,Conversations With Myself,Bill Evans,1
557,Cooleyhighharmony,Boyz II Men,1
558,Copacabana (At The Copa),Barry Manilow,1
559,Copland: A Lincoln Portrait,William Warfield,1
560,Cosas Del Amor,Vikki Carr,1
561,Cosmic Square Dance,Chet Atkins & Mark Knopfler,1
562,Cost Of Living,Delbert McClinton,1
563,Could I Have This Dance?,Anne Murray,1
564,Could've Been,H.E.R. Featuring Bryson Tiller,1
565,Count Plays Duke,"Count Basie Orchestra; Grover Mitchell, director",1
